Index,Word,Meaning,Synonyms,Conjugation
14180,toweka,"ondoka mahali ghafla bila kuonekana | potea kabisa, kufa kabisa",,"towekea, towekeka"
14181,toza,"chukua pesa kutoka kwa mtu kama ushuru, kodi, faini au fidia",,"tozana, tozea, tozeka, tozwa"
14182,toza,kiko cha kuvutia tumbaku,mtemba,
14183,trafiki,askari anayesimamia usalama barabarani na kuhakikisha kuwa watu wanatii sheria za barabarani,,
14184,trakoma,ugonjwa hatari wa macho unaoweza kusababisha upofu,,
14185,transfoma,kifaa kinachorekebisha nguvu ya umeme ili utoke na kuingia mahali fulani kwa kiasi kinachotakiwa,,
14186,trekta,chombo chenye injini kinachoendeshwa kama gari ambacho hutumika kukokotea vitu kwa mfano trela au plau wakati wa kulima,,
14187,trela,"bodi yenye magurudumu mawili au zaidi inayotumika kusafirishia mizigo kwa kuvutwa na lori, trekta au gari",,
14188,treni,gari litumialo njia ya reli na lenye mabehewa ya kusafirishia bidhaa,garimoshi,
14189,trilioni,"idadi inayofikia milioni mara milioni moja; 1,000,000,000,000: Ujenzi wa shule umeigharimu serikali shilingi trilioni moja.",,
14190,troli,,,
14191,tropiki,sehemu ya dunia iliyo kati ya digrii 5 na digrii 23 kaskazini na kusini mwa ikweta,,
14192,tu,neno linaloonyesha kuwa hakuna kiasi zaidi ya hicho kilichopo: Nimekula mayai mawili tu.,,
14193,tua,fika chini kwa kuteremka kutoka angani | kuwa na amani,"utulivu, unyamavu","tulia, tuliza, tulizwa"
14194,tua,weka chini kitu kwa mfano mzigo kutoka kichwani au begani,,"tulia, tuliza"
14195,tuama,teremka ndani ya kitu kwa mfano maji na kutulia chini yake: Udongo ulituama kisimani. | tulia bila kusogea: Maji ya madimbwi yametuama.,,
14196,tubia,"omba rehema kwa Mungu akusamehe dhambi, maovu au makosa uliyofanya",juta,
14197,tubu,omba msamaha kwa Mungu akusamehe makosa au maovu uliyofanya | omba msamaha kwa mtu uliyemkosea aghalabu aliyekupita kwa umri au madaraka kwa mfano mzazi,juta,"tubia, tubika, tubisha"
14198,tubwi,,,
14199,tubwikia,tumbukia majini na kutoa sauti ya chubwi,,"tubwikilia, tubwikika, tubwikisha"
14200,tufaa,tunda tumu lenye mbegu chache na nyama nyingi nyeupe,,
14201,tufani,upepo unaovuma au kuzunguka kwa nguvu sana,"dhoruba, kimbunga",
14202,tufe,kitu chenye gimba la duara kwa mfano mpira wa kuchezea,"bonge, donge",
14203,tufu,enda kuzuru mji alipofia au alipotoka nabii fulani | tendo la kuzunguka kaaba wakati wa kuhiji: Tufu Makka, Tufu Madina.,
14204,tuguu,jamvi la mduara,kitanga,
14205,tuhuma,shaka dhidi ya mtu fulani kuwa amefanya kosa fulani,,
14206,tuhumu,tilia shaka: Serikali inawatuhumu wageni kuwa walichochea migomo vyuoni.,"shuku, dhania","tuhumia, tuhumiwa"
14207,tui,maji yanayopatikana kwa kukamua nazi iliyokunwa ambayo hutumika kama kiungo cha chakula,,
14208,tuibubu,maji meupe mazito yanayotokana na kuchujwa kwa nazi kwa mara ya kwanza,,
14209,tuili,tumia muda mrefu kufanya na kumaliza jambo,"kawia, chelewa",tuilia
14210,tuka,nguzo ambazo paa la baraza huegemezwa,,
14211,tuka,kifurushi cha miche ya mimea iliyong''olewa kwa minajili ya kupandikizwa,,
14212,tukana,"toa maneno ya kumuudhi mtu, sema matusi",tusi,"tukanana, tukania, tukanisha, tukanwa"
14213,tukano,neno la kutukania,"tusi, tayo",
14214,tukia,tokea,jiri,"tukilia, tukika, tukisha"
14215,tukio,"jambo lililotendeka au lililotokea: Katika demokrasia, uchaguzi ni tukio muhimu.",tokeo,
14216,tukizi,nadra,,
14217,tuku,aina ya samaki wa jamii ya bunju,,
14218,tukufu,-enye kupewa heshima, adhimu: Kurani Tukufu, Mtu mtukufu.
14219,tukuka,"heshimiwa sana, kuwa tukufu",,tukukia
14220,tukuta,sukasuka,tikisa,"tukutana, tukutia, tukutika, tukutisha, tukutwa"
14221,tukuta,isiyo tulia: Kijana huyu anatukuta.,haha,"tukutia, tukutika, tukutisha"
14222,tukutiko,hali ya kukosa utulivu,,
14223,tukutu,(kwa watoto) -enye kudandia mambo ya wakubwa | -siotulia mahali pamoja hasa kwa watoto: Mwana mtukutu dawa yake ni ufito.,,
14224,tukuza,"-pa mtu heshima, sifa au utukufu",sifu sana,"tukuzana, tukuzia, tukuzika, tukuzwa"
14225,tukwa,"tezi iliyoko shingoni chini ya taya, kifuko cha mate",,
14226,tule,"isiyofurahisha, -baya: Mchezo tule. | nyonge","dhaifu, maskini, dhalili",
14227,tuli,"neno linalosisitiza hali ya utulivu, hali ya kuwa bila ya kutukutika: Mwalimu alipoingia darasani, watoto walitulia tuli.",,
14228,tulia,"kuwa shwari au tulivu | punguka kwa fujo, rabsha, matata au kelele: Fujo za mabasi zimetulia.",poa,
14229,tulivu,iliyotulia: Mtoto mtulivu.,"raufu, mwanana, shwari",
14230,tuliza,"komesha kitu kwa mfano kelele, ghasia au fujo | poza ukali wa maumivu",,"tulizana, tulizia, tulizika, tulizwa"
14231,tulizana,"kuwa katika hali ya utulivu bila kelele, fujo au matatizo",,"tulizania, tulizanika, tulizanisha"
14232,tulizo,"kitu cha kumtuliza mtu, jambo linalompa mtu hali ya utulivu",,
14233,tuma,agiza mtu aende mahali kufanya jambo fulani | peleka kitu au mtu kwa mtu au watu fulani,,"tumana, tumia, tumika, tumiwa, tumwa"
14234,tumai,kuwa na matarajio ya kufanya au kupata jambo,,tumaini
14235,tumaini,"kuwa na imani ya kupata, kuwa na imani ya kufanikiwa katika jambo",,"tumainia, tumainika, tumainiwa"
14236,tumaini,imani kuwa upo uwezekano wa kufanikiwa au kupatikana kwa jambo fulani,,
14237,tumba,ganda gumu refu na jembamba linalohifadhi mbegu za mmea,,
14238,tumba,ua lililofumba kabla ya kuchanua,"jicho, fumbu",
14239,tumba,"nuru inayozunguka mwezi, kitanga cha mwezi",,
14240,tumba,ngoma ndogo inayopigwa ikiwa imeshikiliwa mikononi,,
14241,tumbaku,"majani ya mtumbaku ambayo hutengeneza sigara, majani ya mtumbaku yakikaushwa hutiwa ndani ya kiko au husagwa kupata ugoro",,
14242,tumbawe,jiwe jororo la baharini linalotokana na mkusanyiko wa vinyama vidogo vya baharini,"fufuwele, bawe, chawe",
14243,tumbi,mfuko mrefu wa miyaa ambao hasa hutumiwa na wavuvi kuwekea samaki,,
14244,tumbi,hutumika kurejelea vitu vingi au wingi wa vitu: Tunawapa shukurani tumbitumbi kwa kuwa nasi.,,
14245,tumbili,"mnyama wa jamii ya nyani, mwenye rangi ya kijivu isiyokoza, baka jekundu matakoni na mkia mrefu",ngedere,
14246,tumbo,sehemu ya mbele ya mwili iliyo kati ya kifua na kiuno | sehemu iliyo ndani ya mwili wa kiumbe yenye umbo kama la mfuko na ambayo hupokea chakula na kinywaji na kuvisaga | sehemu ya ndani ya kitu | uzao,"fumbatio,undani, uvyazi",
14247,tumbua,"toboa uvimbe wenye majimaji, damu au usaha kwa kuminya au kwa kuchana na kifaa chenye ncha kali kama sindano, wembe au kisu | starehe kwa kutumia pesa ovyo",,"tumbuana, tumbuka, tumbuliwa"
14248,tumbuiza,"burudisha, furahisha au starehesha kwa nyimbo au muziki",,"tumbuizana, tumbuizia, tumbuizika, tumbuizwa"
14249,tumbuizo,"kitu au jambo la kufurahisha au kuburudisha watu kwa mfano wimbo, ngoma, muziki na kadhalika",,
14250,tumbuka,"(kwa uvimbe au jipu) pasuka na toa usaha au maji: Jipu limetumbuka. tumbukia, tumbukika",,
14251,tumbukia,ingia bila hiari ndani ya kitu kwa mfano maji au shimo | ingia matatani au mashakani,,"tumbukika, tumbukiza, tumbukizwa"
14252,tumbukiza,"tia kitu ndani ya kitu chenye uwazi ndani kwa mfano ndani ya boksi, kisimani au shimoni | ingiza mtu kwenye mgogoro",,"tumbukizana, tumbukizia, tumbukizisha, tumbukizwa"
14253,tumburujika,tumbuka kwa kitu kwa mfano uvimbe au jipu baada ya kuiva sana,,tumburujikia
14254,tumbuu,komeo la mlango,,
14255,tumbwi,"tunda na mnazi kabla halijafikia hatua ya kuwa dafu, na baada ya kupitwa na hatua ya kuwa kidaka",,
14256,tume,"kundi la watu lililoteuliwa kwa kazi maalumu kwa mfano kuchunguza jambo fulani kwa niaba ya serikali, wizara au shirika: Serikali imeunda tume ya kuchunguza mikataba.",,
14257,tume,wasiwasi alionao mtu kuwa kuna mtu anayefikiria kumdhuru,,
14258,tumia,tenda jambo kwa msaada wa kitu fulani: Tumia kisu kukata embe.,,"tumiana, tumika, tumisha, tumiwa"
14259,tumika,"fanyishwa kazi bila wewe kupenda, fanyia mtu kazi",ajiriwa,"tumikia, tumikisha"
14260,tumikia,fanyia kazi mtu mwingine,,
14261,tumilia,tumia mtu mwingine kufanya jambo kwa maslahi yako,,
14262,tumvitumvi,lengelenge,,
14263,tuna,"jaa kwa kitu kwa mfano mpira, gunia, mtu na kadhalika | kuwa na hasira kubwa","fura, vimba,nuna","tunia, tunika, tunisha"
14264,tunda,chuma matunda au maua kutoka kwenye mti,,"tundia, tundiana, tundika, tundisha, tundiwa, tundwa"
14265,tunda,"zao la mmea lenye mbegu, nyama na majimaji kwa mfano chungwa, embe, nanasi, papai na pera | zao la kazi au shughuli aliyofanya mtu: Nyumba hii ni matunda ya jasho langu.",,
14266,tundia,angalia jambo kwa makini | dadisi mtu ili kujua kila analotenda,peleleza,"tundulia, tundulika, tundulisha"
14267,tundika,angika kitu juu ya kitu kingine kwa mfano kiango au msumari,"angika, tungika","tundikia, tundikiana, tundikika, tundikwa"
14268,tundiza,wekeza kitu kidogokidogo hadi kiwe kingi baada ya muda fulani,dundiza,"tundizia, tundizika, tundizwa"
14269,tundu,"shimo dogo katika kitu kwa mfano sindano, sikio, ukuta, mkebe na kadhalika | kitu kilichotengenezwa kwa matete, waya au wavu kwa ajili ya kufugia ndege",,
14270,tunduia,angalia jambo kwa makini | dadisi mtu ili kujua kila analotenda,peleleza,"tundulia, tundulika, tundulisha"
14271,tunduizi,"-a muhimu sana, -enye undani na uketo, -enye uzito na dharura ya kufanyika",,
14272,tunduwaa,shangaa na baki kimya bila kutenda jambo au kwa ajili ya kufikiria jambo linalostaajabisha,duwaa,"tunduwalia, tunduwalika, tunduwaza"
14273,tunga,"pitisha uzi ndani ya tundu ya kitu kwa mfano ushanga, samaki na kadhalika",dunga,"tungia, tungika, tungisha, tungwa"
14274,tunga,tengeneza usaha kwenye kidonda au jipu: Kidonda kinatunga usaha. | ungana mbegu ya kiume na ile ya kike ili kutengeneza mimba,,"tungia, tungika, tungisha, tungwa"
14275,tunga,buni mawazo akilini na kisha kuyawasilisha kwa mdomo au kwa maandishi: tunga hadithi, tunga sentensi, tunga shairi
14276,tunga,kikapu kikubwa,"kapu, dunga",
14277,tungamana,"fungamana, shikamana au gandamana kwa vitu",,"tungamania, tungamanika, tungamanisha"
14278,tungasa,funga na ning''iniza mkono ulioumia kwa kitambaa kilichovaliwa shingoni,,
14279,tungata,beba juu ya bega,,"tungatia, tungatika, tungatisha, tungatwa"
14280,tungi,"kioo kikubwa chenye umbo la glopu kinachotumiwa katika taa ya fanusi, karabai au kandili",,
14281,tungo,(sarufi) kipashio cha kimuundo kilichojengwa na vipashio vidogo zaidi,,
14282,tungu,kitovu kikubwa cha binadamu kilichojitokeza juu ya tumbo,,
14283,tungu,"chombo mithili ya bakuli kinachotengenezwa kwa kizio cha mung''unye kinachotumika kuhifadhia vimiminika kama maziwa, maji, asali na vinginevyo",,
14284,tungu,koroboi,,
14285,tungua,"chukua kitu kilichotundikwa au kinachoning''inia | shambulia, hasa kwa risasi, kombora au bomu kitu kinachoruka hewani na kukiangusha chini","angua, popoa","tunguka, tungulia, tunguliwa"
14286,tunguja,tunda la mtunguja | ndulele,,
14287,tungule,nyanya ndogondogo ambazo huliwa kama mboga,,
14288,tunguri,kibuyu ambacho waganga au wachawi huwekea dawa zao za kienyeji,ndonga,
14289,tunguridi,ndege mwenye rangi nyeusi na kishungi kirefu kichwani,,
14290,tuni,sauti mojawapo katika wimbo au muziki,"lahani, alhani",
14291,tunu,"kitu ambacho mtu humpa mtu kuwa ni ishara ya upendo | kitu ambacho hupatikana kwa nadra, kitu cha thamani kubwa","hidaya, zawadi, tunzo, tuzo",
14292,tunukia,"-pa mtu zawadi, cheti, tuzo, shahada, nishani na kadhalika kwa sababu ya ushindi au jambo zuri alilofanya",tunuku,"tunukiana, tunukika, tunukisha, tunukiwa"
14293,tunuku,"-pa mtu zawadi, cheti, nishani au cheo kwa kuhitimu mafunzo fulani au kwa kazi nzuri",tuza,"tunukia, tunukika, tunukisha, tunukiwa"
14294,tunutu,mwana wa nzige,"matumatu, maige, kimatu",
14295,tunza,angalia kitu ili kibaki salama bila kuharibika au kupata madhara,"hifadhi, linda, chunga","tunzia, tunziana, tunzika, tunzwa"
14296,tunzo,,,
14297,tupa,peleka au vugumiza kitu kisichohitajika kwenye kikapu au shimo la taka | acha bila kutunza au kuangalia | rusha kitu kutoka ulipo kwenda mbali,,"tupia, tupiana, tupika, tupiwa, tupwa"
14298,tupa,kifaa cha chuma kigumu cha kukerezea au kunolea vitu vingine,,
14299,tupia,rashiarashia kitu kwa mfano ufuta au mchele juu ya kitu kingine | pachika kitu kama vile mtandio juu ya bega au kichwa,,
14300,tupu,"bila ya kuvaa chochote: Mtoto hajavalishwa nguo, anatembea tupu.",uchi,
14301,tupu,sehemu za siri za binadamu za kunyea na kukojolea,"mkundu, mboo, kuma",
14302,tupu,pasipo na kitu ndani yake: Chupa tupu. | pasipo kitu kingine zaidi,peke yake: Amekunywa chai tupu.,pekee
14303,tura,tunguja mwitu iliyo ngumu na chungu,,
14304,turubai,kitambaa kizito na kigumu cha kitani ambacho hutumiwa kujengea mahema au kufunikia bidhaa ili zisichafuke au kuharibika,tonobari,
14305,turufu,karata inayotawala katika michezo ya karata ya wahedi sitini | kitu au mtu mwenye kauli ya mwisho katika shauri fulani,,
14306,turuhani,uzito wa chombo bila ya kuwa na mzigo | kipunguzo,bardani,
14307,turuhani,hali ya kuheshimiwa,hadhi,
14308,turusi,patasi,churusi,
14309,turuturu,uvimbe mdogo mgumu katika mwili wa binadamu au mnyama,,
14310,tusi,"tukana, toa au tamka matusi",,
14311,tusi,neno au kauli ya kumvunjia mtu heshima,,
14312,tusi,kilili cha kubebea maiti,jeneza,
14313,tusui,sehemu moja kati ya sehemu tisa zilizo sawa za kitu kizima, 1/9,
14314,tuta,"beba vitu vinavyoelemea kwa uzito | beba vitu vilivyofungwa ovyoovyo | pumua upesi kutokana na moyo kwenda mbio, hata mapigo ya moyo kusikika","tutusa, pwita, tweta","tutia, tutika, tutisha, tutwa"
14315,tuta,mdudu mwenye mabawa magumu na tumbo jeusi ambaye hufinyanga na kubiringisha mabonge ya kinyesi cha wanyama kama ng''ombe,dundu,
14316,tuta,mwinuko mrefu wa udongo uliotifuliwa ili kupanda mbegu au mimea kwa mfano mihogo au viazi | mwinuko unaojengwa au kuwekwa barabarani ili kuyafanya magari yapunguze mwendo,,
14317,tutamavi,,,
14318,tutia,"fukia shimo kwa udongo, mchanga au kifusi ili kusawazisha mahali",,"tutiana, tutilia, tutika, tutisha, tutiwa"
14319,tutika,beba vitu vinavyoelemea kwa uzito | kusanya vitu pamoja,rundika,"tutikia, tutikika, tutikisha"
14320,tutu,mlo wa mchanganyiko wa kunde na mahindi au kunde na mtama,,
14321,tutu,"uvimbe mdogo, mgumu na mweusi unaojitokeza kwenye mwili",,
14322,tutu,ndege wa jamii ya njiwa mwenye rangi ya kijivu,fumvu,
14323,tutuka,tokwa na turuturu kwenye ngozi,duduika,tutukia
14324,tutuma,nung''unika,lalamika,"tutumia, tutumika, tutumisha"
14325,tutumua,vimbisha kitu,,"tutumulia, tutumika, tutumisha"
14326,tutumvi,vipele vinavyoota juu ya ngozi ya mtu pale anapogusana na mdudu au majani yanayowasha,,
14327,tutuo,"hali ya kuwa na papara, bila subira",pupa,
14328,tuturika,toka vipele vingi juu ya ngozi,,
14329,tutusa,tweta kwa moyo,tuta,"tutusia, tutusika, tutuza"
14330,tutusa,enda huku ukipapasapapasa kama afanyavyo mtu akipita kwenye sehemu yenye giza,,"tutusia, tutusika, tutuza"
14331,tutwe,kimya bila kusema jambo,,
14332,tuwazi,chombo cha madini ya aghalabu shaba chenye umbo mithili ya sahani kinachotumika kama ala mojawapo ya muziki | chombo cha madini ya aghalabu shaba chenye umbo la bakuli kinachotumika kunawia mikono,,
14333,tuza,-pa mtu zawadi baada ya kufanya jambo vizuri kwa mfano kushinda mashindano au mtihani: Tuza huyu mwanariadha kwa sababu ameibuka mshindi.,"tunza, tunuku","tuzia, tuziana, tuzika, tuzwa"
14334,tuzo,kitu anachopewa mtu kama zawadi baada ya kufanya jambo zuri,"tunu, tunza",
14335,tuzua,tia aibu,"tahayarisha, aibisha","tuzuana, tuzulia, tuzulika, tuzulisha, tuzuliwa"
14336,twaa,chukua kitu na kukitia mkononi,"shika, ondoa","twalia, twaliana, twalika, twaliwa"
14337,twaibu!,sahihi!,"naam!, barabara!",
14338,twalia,bebea mtu kitu,,"twaliana, twalika, twalisha, twaliwa"
14339,twanga,"titiga kitu kwa mfano mahindi, mpunga, wimbi na mawele katika kinu kwa kutumia mchi ili kutoa maganda katika punje au kufanya unga | piga mtu sana",,"twangana, twangia, twangika, twangisha, twangiwa, twangwa"
14340,twaza,jivuna,ringa,"twazia, twazisha"
14341,tweka,pandisha bendera au tanga juu ya mlingoti,twika,"twekea, twekeana, twekeka, twekesha, twekewa, twekwa"
14342,twesha,salimia hasa watu waliokuzidi umri | tembelea mke kwa nia ya kumjulia hali katika siku isiyokuwa zamu yake kwa mtu mwenye mke zaidi ya mmoja,,"twesha, twesheka, tweshana, tweshwa"
14343,tweta,"vuta pumzi kwa taabu, hema kwa nguvu kwa sababu ya kuchoka au kuishiwa nguvu","bweta, pwita","twetea, tweteka, twetesha"
14344,tweza,vunjia mtu heshima,aibisha,"twezana, twezeka, twezesha, twezewa, twezwa"
14345,twiga,"mnyama mrefu sana wa Bara la Afrika mwenye rangi ya kahawia na mabatobato meusi, miguu mirefu na shingo ndefu",,
14346,twika,inua kitu na kukibandika begani au kichwani,,"twikana, twikia, twikika, twisha, twishwa"
14347,twinga,puto kubwa lenye nafasi ya kubeba watu ambalo hurushwa hewani mithili ya tiara,purutangi,
14348,twisha,saidia mtu kuinua kitu na kukibandika juu ya kichwa au begani | pachika mzigo juu ya mgongo wa mnyama,,"twishana, twishia, twishika, twishwa"
14349,twitwi,,,
14350,tyubu,"mpira laini unaokaa ndani ya gurudumu la baiskeli, pikipiki, gari au mpira wa kuchezea unaojazwa hewa, mpira wa ndani",,
14351,ua,sehemu ya mmea inayovutia kutokana na kuwa na rangi mbalimbali ambayo wadudu na ndege hupenda kuitembelea kupata asali na ni sehemu ya uzazi ya mmea,,
14352,ua,(nyua)uga,"kitalu, kiwanja",
14353,ua,ondoa uhai wa mtu au kiumbe kingine kwa kukusudia au kwa ajali,fisha,"uana, uawa, ulika, uliwa"
14354,uadhimishaji,tendo maalumu la kukumbuka tukio au mtu maarufu,"sherehe, ukumbusho",
14355,uadilifu,hali au tabia ya kutenda haki bila ya kumpendelea mtu au upande wowote : Viongozi wanatakiwa wawe watu waadilifu.,"usawa, hidaya",
14356,uadimikaji,hali ya kitu kutopatikana kwa muda mrefu,,
14357,uadui,hali ya watu kuchukiana na kutendeana maovu,uhasama,
14358,Uafrika,"hali ya kuwa Mwafrika: Uafrika ni pamoja na kufuata mila na desturi za Kiafrika. | tabia, mila na desturi za Kiafrika: Kusalimiana kwa heshima na adabu ni moja ya sifa za Uafrika.",,
14359,uagizaji,kazi ya kuitisha vitu kutoka kwa mtu au mahali pengine: Ameanzisha kampuni ya uagizaji wa chakula kwa mfano unga na sukari kutoka nje. | njia au namna ya kuagiza kitu: Uagizaji wa bidhaa kutoka nje unaweza kufanywa kwa baruapepe.,,
14360,uaguzi,"ubashiri wa mambo yatakayokuja, utoaji wa tafsiri za ndoto au ishara | utoaji wa huduma ya afya na dawa | namna ya kuondoa au kuopoa uchawi","matibabu, uganguzi",
14361,uaili,hali ya kumlaumu au kumkosoa mtu au kitu,,
14362,uainishaji,upangaji wa vitu au viumbe katika makundi kwa mujibu wa jinsi vinavyohusiana,,
14363,uainisho,uwekaji wa vitu katika aina au makundi yake mbalimbali,,
14364,uajemi,nchi ya Waajemi,Irani,
14365,uajenti,"ufanyaji wa shughuli za biashara kwa niaba ya mtu mwingine, shirika au kampuni fulani",uwakala,
14366,uajiri,"tendo la kumwajiri mtu | namna, mbinu au njia ya kumwajiri mtu",,
14367,uajuza,"hali ya kuwa mzee sana kwa mwanamke, mzee wa kike",,
14368,uakiaji,jinsi ya kukimeza chakula bila kukitafuna,,
14369,uakida,cheo cha mkuu wa jeshi wakati wa utawala wa kikoloni wa Wajerumani | cheo cha mkuu wa mambo ya utamaduni,,
14370,uakifishaji,"matumizi ya alama za uandishi kwa mfano [&#58;], [;], [.], [?], [!] na [,] katika kuandika insha, barua, hadithi, makala na kadhalika",,
14371,uakuaji,ukamataji au unyakuaji wa ghafla,,
14372,ualikaji,utoaji wa sauti sawa na kitu kinachovunjika kwa mfano kidoko kifanywacho na ulimi,mwaliko,
14373,ualikaji,"utoaji wa sauti ya mwaliko wa kuwaita watu wahudhurie shughuli fulani kwa mfano harusi, sherehe au hafla",,
14374,ualimu,kazi ya kufundisha au kusomesha wanafunzi | ujuzi wa kufundisha au kusomesha,,
14375,ualisaji,kuhudumia wagonjwa hospitalini,uuguzi,
14376,uamana,uhifadhi wa fedha au mali iliyotolewa na mwenyewe ili baadaye igawiwe wanaohusika kadiri ya taratibu na kwa maelekezo ya anayeitunza,,
14377,uambaji,unenaji wa jambo,,
14378,uambatanisho,"tendo la kubandika au kugandamanisha kitu cha ziada kwenye kitu kingine, tendo la kuambatanisha: Uambatanisho wa nembo ya shirika letu kwenye sare za kazi ni kwa watumishi wote.",,
14379,uambatisho,tendo la kuongeza au kushikiza kitu kama ziada ya kitu kingine: Ambatisha vyeti vyako vya shule kwenye maombi yako ya kazi,shikamanisha,
14380,uambishaji,(sarufi) upachikaji wa viambishi kwenye mzizi wa kitenzi,,
14381,uambuaji,utenganishaji wa vitu vilivyoambishwa,,
14382,uambukizaji,"uingizaji wa vimelea vya ugonjwa kwenye mwili wa mtu au mnyama kutoka kwa mtu au mnyama mwenye ugonjwa huo kwa njia ya hewa, kugusana au kwa njia ya chakula",,
14383,uamiaji,ufukuzaji kwa kupiga kelele kwa mfano ndege katika shamba la mpunga,,
14384,uamilifu,"ujira, kazi inayotekelezwa na kitu au kifaa fulani",,
14385,uaminifu,"tabia ya mtu ya kuweza kuaminika au kuaminiwa na wengine kwa mfano kupewa mali fulani aiweke mpaka siku nyingine, tabia ya kusema ukweli siku zote",,
14386,uamiri,"ukubwa wa cheo: Ukiwa kwenye nafasi ya uamiri, utaongoza vipi waajiriwa walio chini yako?",,
14387,uamirishaji,uongezaji wa ustawi wa jambo la kimaendeleo,ustawishaji,
14388,uamuaji,kitendo cha kuwazuia watu ambao wanagombana au kupigana wasiendelee kufanya hivyo | kitendo cha kuamua mambo katika michezo ya kushindana kwa mfano mpira,,
14389,uamuzi,"maafikiano yaliyopitishwa kwenye kikao au kongamano kwa lengo la kutekeleza jambo fulani, kauli ya mwisho | ukataji shauri wa kufanya jambo fulani",,
14390,uana,hali ya kuwa mwanamke au mwanamume,jinsia,
14391,uana,"ondoleana uhai kati ya watu au viumbe, sababishiana vifo baina ya watu au viumbe",,
14392,uanaadamu,kuwa mwanaadamu | tabia nzuri ya mtu,"utu, uungwana",
14393,uanaanga,elimu inayohusu mambo ya anga | kazi inayohusiana na mambo ya anga,,
14394,uanachama,"hali ya kuwa mjumbe wa chama, jumuia au kilabu fulani",,
14395,uanachuoni,hali ya kuwa mwanachuoni,,
14396,uanafunzi,"hali ya kuwa katika mafunzo, hali ya kuwa mwanafunzi","uanagenzi, ukurufunzi",
14397,uanagenzi,hali ya kuwa mwanafunzi wa kazi au taaluma fulani,,
14398,uanahalali,hali ya kutokuwa mwanaharamu,,
14399,uanaharamu,"kuwa mwanaharamu, yaani kuzaliwa nje ya ndoa: Hakuna mwanaharamu duniani, kitendo ndicho haramu. | kuwa na tabia za kuchekesha au za kihuni",,
14400,uanahewa,taaluma ya uendeshaji vyombo vya anga kwa mfano ndege | kazi ya uendeshaji wa vyombo vinavyosafiri angani kwa mfano ndege: Gongwe amekuwa mwanahewa hodari.,purutangi,
14401,uanamaji,"taaluma ya mwanamaji | kazi ya kuwa mwanamaji, baharia au uanapwa",,
14402,uanamapinduzi,tabia ya kuwa mwanamapinduzi,,
14403,uananchi,hali ya kuwa mwananchi wa nchi fulani kwa kuzaliwa kule au kwa kuandikishwa uraia,,
14404,uanapwa,uanamaji,ubaharia,
14405,uanasheria,"taaluma ya sheria, kazi ya mambo ya kisheria",,
14406,uanauke,hali ya kuwa na tabia za kike au kufanya mambo ya kike,,
14407,uanaume,hali ya kuwa mwanamume | uhodari na uvumilivu katika jambo,,
14408,uanazuoni,utaalamu wa hali ya juu kutokana na kupata elimu ya chuo,,
14409,uandaaji,"harakati za kutayarisha utendekaji wa jambo kwa mfano upikaji wa chakula, ufanyikaji wa harusi au sherehe",uandazi,
14410,uandamanaji,hali ya kwenda pamoja kuelekea mahali fulani kama ishara ya umoja katika kutetea jambo fulani,,
14411,uandazi,,,
14412,uandikaji,namna au ujuzi wa kuandika,,
14413,uandikishaji,uwekaji wa taarifa za mtu au kitu katika orodha au daftari maalumu kwa kuandika maelezo yake,,
14414,uandishi,"uandikaji | kazi ya kuandika kwa mfano vitabu, magazeti na kadhalika | uandaaji wa chakula mezani",,
14415,uanga,tendo la kufanya mambo ya kichawi usiku,,
14416,uangaliaji,namna au jinsi ya kutazama kitu,,
14417,uangalifu,"tendo la kuangalia vizuri usipate kuumia, kuharibu au kuvunja kitu","umakinifu, hadhari",
14418,uangalizi,"tendo la kumhudumia na kumtimizia mtu haja yake hususan mzee, mgonjwa au mtoto mdogo | tendo au hali ya kumweka mtu katika usimamizi wa mtu au kitu: Majambazi wako chini ya uangalizi wa polisi kwa siku tatu.",,
14419,uangamizaji,"uharibifu wa vitu, hali ya kuponza mambo | tendo la kuingiza mtu au kitu taabuni au hatarini",,
14420,uangavu,weupe au usafi wa kitu kwa mfano wa maji kiasi cha kuweza kuonyesha kilichopo ndani | uwezo wa kutumia akili vizuri,,
14421,uani,(pa-/ku-/mu-) sehemu ya nyuma ya nyumba ambayo kumejengwa choo au msala,,
14422,uanzishaji,jinsi au tendo la kuanzisha kitu,,
14423,uapaji,jinsi ya kuapa,,
14424,uapizaji,"tendo la kumtakia mtu mabaya, ombea mtu dua mbaya",,
14425,uasherati,tabia ya kupenda sana kufanya ngono,"umalaya, uzinzi, ukware",
14426,uashi,"kazi ya ujenzi kwa kutumia mawe, matofali au udongo",,
14427,uasi,"tendo la kuvunja amri, kanuni au sheria",uhalifu,
14428,uasili,mwanzo au chimbuko la kitu au jambo,,
14429,uaskari,kazi ya kuwa askari wa jeshi au polisi,,
14430,uaskofu,hali na wadhifa wa kuwa mchungaji au kasisi mkuu wa wakristo ambapo wadhifa huo humwezesha kutawala jimbo la kanisa na kusimika mchungaji au padri,,
14431,uati,(mbati) boriti nyembamba zinazokingamana na paa la nyumba,,
14432,uatikaji,tendo la kung''oa miche kama vile migomba kutoka kwenye kitalu na kupanda katika shamba au eneo lililoandaliwa,,
14433,uatilifu,udhoofishaji wa kiungo cha mwili,,
14434,uayari,werevu,"hila, ujanja, udanganyifu",
